             699.500       714.500         699.500
             670.800       698.000         669.000
             680.000       683.000         664.000
             677.000       682.000         676.000
             689.500       691.500         683.500
             689.000       697.500         684.000
             692.700       692.700         686.200
             695.700       696.500         686.000
             684.800       692.000         684.000
             660.000       674.000         657.000
             671.500       674.000         660.000
             671.700       674.000         665.000
             687.700       687.700         674.000
             673.000       684.000         673.000
             679.700       679.700         665.000
             681.500       687.000         680.000
             713.200       714.000         687.000
             703.000       716.500         703.000
             703.500       707.500         701.000
             691.000       702.000         690.000
             698.500       698.500         695.000
             701.500       705.000         700.000
             701.500       705.100         697.000
             703.000       704.500         698.000
             707.500       710.500         704.500
             704.200       708.000         702.500
             722.700       724.500         709.000
             720.500       726.500         720.000
             757.500       758.800         743.500
             747.000       754.000         743.000
             755.500       770.500         753.000
             768.500       772.500         751.500
             757.800       775.000         757.000
             736.300       749.500         734.000
             753.700       754.500         739.000
             746.000       756.500         745.000
             746.000       751.000         741.000
             762.700       763.000         747.500
             796.500       808.000         785.500
             789.500       806.000         786.500
             784.500       794.500         778.000
             785.000       785.000         762.000
             739.000       778.500         735.000
             726.300       753.000         720.000
             741.500       743.000         731.000
             751.000       755.000         748.000
             738.300       742.300         724.000
             735.500       738.000         718.000
             744.500       748.500         739.000
             738.300       746.300         736.000
             738.500       742.000         738.000
             750.500       761.000         749.000
             753.000       753.000         746.000
             743.500       748.000         738.000
             741.000       742.000         728.000
             736.000       745.500         735.500
             723.100       738.500         722.100
             711.500       731.000         710.000
             714.400       717.500         700.500
             717.000       719.500         704.000
             708.800       724.000         707.500
             677.500       697.000         675.500
             687.700       690.000         682.000
             691.000       694.000         683.500
             692.500       693.000         684.500
             697.000       704.500         697.000
             699.700       703.200         699.000
             692.000       694.000         680.000
             710.000       714.000         694.000
             697.000       723.000         695.500
             670.000       691.000         670.000
             658.000       661.500         640.000
             660.200       672.000         658.500
             665.700       667.500         643.500
             668.700       677.000         663.500
             660.500       677.000         659.000
             672.300       673.000         657.000
             669.000       672.000         656.000
             673.500       678.000         671.000
             689.300       690.000         682.500
             702.400       703.000         685.000
             696.000       703.000         692.500
             672.800       691.000         670.500
             686.500       688.000         667.000
             679.800       690.000         675.000
             682.500       683.500         674.500
             685.000       696.500         684.000
             678.300       689.300         676.000
             685.000       687.500         682.000
             676.800       691.500         675.500
             676.000       677.500         661.500
             664.800       671.500         663.200
             641.300       659.500         641.000
             611.000       646.500         608.500
             592.000       606.700         584.000
             617.700       624.000         592.500
             623.200       630.500         614.500
